Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-85j6,branch-4ivo,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,imagefile,ANSWER,CUE, TARGET,font
41,1592803410493,22/06/2020 05:23:30,1592803408879,-7,21/06/2020 22:23:28,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,34,14,1,Screen 2,Zone2,response_text_entry,2640.8300000002782,,,,1,0,1,0,,,,,2,test,sharp-sf.jpeg,,KNIFE,SHARP,sf
42,1592803418928,22/06/2020 05:23:38,1592803417297,-7,21/06/2020 22:23:37,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,41,15,1,Screen 2,Zone2,response_text_entry,8384.974999999933,,,HAPPINESS,1,0,1,0,,,,,2,test,patience-a.jpeg,,VIRTUE,PATIENCE,a
43,1592803421289,22/06/2020 05:23:41,1592803419665,-7,21/06/2020 22:23:39,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,36,16,1,Screen 2,Zone2,response_text_entry,2322.0799999999144,,,,1,0,1,0,,,,,2,test,article-a.jpeg,,MAGAZINE,ARTICLE,a
44,1592803422714,22/06/2020 05:23:42,1592803421096,-7,21/06/2020 22:23:41,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,37,17,1,Screen 2,Zone2,response_text_entry,1392.9900000002817,,,,1,0,1,0,,,,,2,test,tense-a.jpeg,,NERVOUS,TENSE,a
45,1592803424557,22/06/2020 05:23:44,1592803422938,-7,21/06/2020 22:23:42,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,29,18,1,Screen 2,Zone2,response_text_entry,1825.5850000005157,,,,1,0,1,0,,,,,2,test,yard-sf.jpeg,,FENCE,YARD,sf
46,1592803426803,22/06/2020 05:23:46,1592803425181,-7,21/06/2020 22:23:45,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,39,19,1,Screen 2,Zone2,response_text_entry,2220.9800000000687,,,,1,0,1,0,,,,,2,test,apart-sf.jpeg,,SEPARATE,APART,sf
47,1592803428381,22/06/2020 05:23:48,1592803426758,-7,21/06/2020 22:23:46,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,35,20,1,Screen 2,Zone2,response_text_entry,1544.9100000005274,,,,1,0,1,0,,,,,2,test,contact-a.jpeg,,LENS,CONTACT,a
48,1592803428583,22/06/2020 05:23:48,1592803426772,-7,21/06/2020 22:23:46,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,,,END TASK,,,,,113419,,,,,0,1,0,,,,,,,,,,,
1,1592803379786,22/06/2020 05:22:59,1592803379944,-4,22/06/2020 01:22:59,20464,5,task-64r3,,5727277,BLIND,1599995,,complete,,5ef03fd54ba8c51d67222fe2,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1366x768,1366x657,,Recog,4,Sh2,I consent,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1592803392688,22/06/2020 05:23:12,1592803392459,-4,22/06/2020 01:23:12,20464,5,task-64r3,,5727277,BLIND,1599995,,complete,,5ef03fd54ba8c51d67222fe2,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1366x768,1366x657,,Recog,4,Sh2,I consent,sf2,1,1,1,Screen 1,advancementZone,continue_button,12465.405000024475,,,,,0,1,0,,,,,,introduction,,,,,
