"","id","font","cond","acc"
"271","5ecc2f6c079cdc80b6b589f7","flu","self-paced",0.166666666666667
"272","5ecc2f6c079cdc80b6b589f7","SF","self-paced",0.333333333333333
"273","5ed43533bdae560e1127454b","flu","self-paced",0
"274","5ed43533bdae560e1127454b","SF","self-paced",0
"275","5ed7bd95115e060a56ea2d4c","flu","self-paced",0.25
"276","5ed7bd95115e060a56ea2d4c","SF","self-paced",0.0833333333333333
"277","5edeb2f4cfbc2014d8efd88a","flu","timed",0.416666666666667
"278","5edeb2f4cfbc2014d8efd88a","SF","timed",0.583333333333333
"279","5ee171492f43f71be5a35213","flu","self-paced",0.166666666666667
"280","5ee171492f43f71be5a35213","SF","self-paced",0.5
"281","5ee50130f8d19d080bcc8263","flu","self-paced",0.166666666666667
"282","5ee50130f8d19d080bcc8263","SF","self-paced",0.416666666666667
"283","5ee728b4b64c3301253b9311","flu","timed",0.416666666666667
"284","5ee728b4b64c3301253b9311","SF","timed",0.25
"285","5ee96cbf2825f91f0f5f49d9","flu","timed",0.25
"286","5ee96cbf2825f91f0f5f49d9","SF","timed",0.416666666666667
"287","5eecf79232fae00d585cd6f4","flu","self-paced",0.25
"288","5eecf79232fae00d585cd6f4","SF","self-paced",0.166666666666667
"289","5eecf88a4e531e0e897631df","flu","timed",0
"290","5eecf88a4e531e0e897631df","SF","timed",0.166666666666667
"291","5eeeb4ef8bee9f136a054a69","flu","timed",0.25
"292","5eeeb4ef8bee9f136a054a69","SF","timed",0.166666666666667
"293","5ef25fdd6a2295940b1f3ab1","flu","timed",0.666666666666667
"294","5ef25fdd6a2295940b1f3ab1","SF","timed",0.75
"295","5ef312020b917e01fc9d904b","flu","timed",0.333333333333333
"296","5ef312020b917e01fc9d904b","SF","timed",0.416666666666667
"297","5ef47ce9b4fd3d0430658f9c","flu","timed",0.5
"298","5ef47ce9b4fd3d0430658f9c","SF","timed",0.5
"299","5efbd7e8b3084f17e4bfe2b9","flu","self-paced",0.666666666666667
"300","5efbd7e8b3084f17e4bfe2b9","SF","self-paced",0.583333333333333
"301","5f02928eb864764323d1f42a","flu","timed",0.5
"302","5f02928eb864764323d1f42a","SF","timed",0.416666666666667
"303","5f068c1a0370401f6236812e","flu","self-paced",0.333333333333333
"304","5f068c1a0370401f6236812e","SF","self-paced",0.666666666666667
"305","5f0d2ad60ad0d6730c380b05","flu","timed",0.833333333333333
"306","5f0d2ad60ad0d6730c380b05","SF","timed",0.583333333333333
"307","5f0e6f42ed33880645dc0842","flu","self-paced",0.5
"308","5f0e6f42ed33880645dc0842","SF","self-paced",0.0833333333333333
"309","5f0f6341b0b87f08708229b9","flu","timed",0.25
"310","5f0f6341b0b87f08708229b9","SF","timed",0.75
"311","5f12fa2b44b6a42a83519a79","flu","timed",0.416666666666667
"312","5f12fa2b44b6a42a83519a79","SF","timed",0.333333333333333
"313","5f15b1ffb0fa876a3a19acf7","flu","self-paced",0.0833333333333333
"314","5f15b1ffb0fa876a3a19acf7","SF","self-paced",0.416666666666667
"315","5f171b6978c6ae032e458f06","flu","timed",0.166666666666667
"316","5f171b6978c6ae032e458f06","SF","timed",0.0833333333333333
"317","5f1c2ebf1d8b7c48ad3ec3db","flu","timed",0.166666666666667
"318","5f1c2ebf1d8b7c48ad3ec3db","SF","timed",0.416666666666667
"319","5f1e192b8d05fc380e73cf4d","flu","timed",0.166666666666667
"320","5f1e192b8d05fc380e73cf4d","SF","timed",0.0833333333333333
"321","5f1e22ae2c833f3722aa7186","flu","timed",0.0833333333333333
"322","5f1e22ae2c833f3722aa7186","SF","timed",0.166666666666667
"323","5f1f9c1e6342c31c5c9ebe0a","flu","timed",0.5
"324","5f1f9c1e6342c31c5c9ebe0a","SF","timed",0.583333333333333
"325","5f254fe600b37f1c905e56e3","flu","timed",0.0833333333333333
"326","5f254fe600b37f1c905e56e3","SF","timed",0.333333333333333
"327","5f28df0b329da326ded58f78","flu","timed",0.0833333333333333
"328","5f28df0b329da326ded58f78","SF","timed",0.5
"329","5f3452f3425095342490277e","flu","self-paced",0.333333333333333
"330","5f3452f3425095342490277e","SF","self-paced",0.166666666666667
"331","5f35e08d59d6ab62c342f8ad","flu","timed",0.166666666666667
"332","5f35e08d59d6ab62c342f8ad","SF","timed",0.583333333333333
"333","5f35f4814afea863300645e4","flu","timed",0.333333333333333
"334","5f35f4814afea863300645e4","SF","timed",0.5
"335","5f39fa54b21dd45aff14645c","flu","timed",0.583333333333333
"336","5f39fa54b21dd45aff14645c","SF","timed",0.5
"337","5f3d88e03a16f0163ff5b93a","flu","self-paced",0.25
"338","5f3d88e03a16f0163ff5b93a","SF","self-paced",0.166666666666667
"339","5f41b3e5d54b8c16a59402f1","flu","self-paced",0.916666666666667
"340","5f41b3e5d54b8c16a59402f1","SF","self-paced",0.833333333333333
"341","5f430c46a5518f171572f8d1","flu","timed",0.416666666666667
